year	score
2019	4.4
2019	5.4
2019	4.9
2019	5.1
2019	5.1
2019	5.4
2019	5.2
2019	4.9
2019	5.6
2019	5.4
2019	4
2019	5
2019	4.8
2019	5.9
2019	5.3
2019	5
2019	6.1
2019	5.6
2019	6
2019	5.3
2019	5.7
2019	5.2
2019	5.7
2019	4.2
2019	5.7
2019	5.8
2019	5.8
2019	5.2
2019	5.5
2019	5.4
2019	5.3
2019	5.2
2019	5.8
2019	5.6
2019	5.7
2019	5.2
2019	4.7
2019	6.3
2019	5.2
2018	5
2018	5
2018	5
2018	5.5
2018	4.6
2018	5.7
2018	4.9
2018	4.9
2018	4
2018	5.8
2018	5.7
2018	5.1
2018	6
2018	5.1
2018	4.7
2018	5.6
2018	5.2
2018	5
2018	5.7
2018	5.7
2018	5.7
2018	5.1
2018	4.9
2018	4.9
2018	4.8
2018	5.1
2018	5.5
2018	5.2
2018	4.8
2018	5.1
2018	5.8
2018	4.8
2018	5
2018	5.3
2018	5.1
2018	5
2018	5.4
2018	5.2
2018	5.8
2018	5.4
2018	4.6
2018	5
2018	5.6
2018	5
2018	4.6
2018	5.7
2018	5.5
2018	NA
2018	5.5
2018	5.2
2018	5
2018	6
2018	5.2
2018	5.8
2018	5.8
2018	5.9
2018	5
2018	6
2018	5.1
2018	5.1
2018	5.4
2018	5.3
2018	5.6
2018	5
2018	5.5
2018	5.2
2018	5.3
2018	5.5
2018	5.1
2018	5.2
2018	5.6
2018	4.8
2018	5.2
2018	4.5
2018	4.6
2018	5.3
2018	5.2
2018	5.1
2018	4.6
2018	4.1
2018	5
2018	5.9
2018	5.2
2018	5.2
2018	4.8
2018	5
2018	4.4
2018	5.3
2018	5.1
2018	2.6
2018	5
2018	4.7
2018	5.6
2018	5.2
2018	5.5
2018	5.7
2018	5.8
2018	5.4
2018	5.3
2018	4.1
2018	5.6
2018	5.6
2018	5.5
2018	5.1
2018	5.4
2018	5
2018	5.1
2018	5.4
2018	5.7
2018	5.8
2018	5
2018	5.2
2018	5.9
2018	5.4
2018	5.2
2018	5.2
2018	5.2
2018	4.6
2018	5.2
2018	5.3
2018	4.7
2018	5.4
2018	5.3
2018	5.3
2018	5.8
2018	4.9
2018	5.5
2018	4.4
2018	5.1
2018	4.9
2018	5
2018	4.9
2018	5.4
2018	5.3
2018	5.4
2018	5.4
2018	5.5
2018	5.4
2018	5.1
2018	4.3
2018	5
2018	5.4
2018	5
2018	5.3
2018	NA
2018	5.4
2018	5.3
2018	5.2
2018	5.5
2018	5.5
2018	4.8
2018	5.1
2018	5.9
2018	5
2018	5.4
2018	5.8
2018	5.6
2018	5.7
2018	5.3
2018	6
2018	5.9
2018	5.2
2018	5.8
2018	5
2018	4.9
2018	5.8
2018	5.4
2018	5.3
2018	5.5
2018	5.5
2018	5.1
2018	5.3
2018	5.2
2018	5.6
2018	5.3
2018	5.1
2018	5.5
2018	5.1
2018	5.4
2018	4.5
2018	5.7
2018	5.9
2018	5.4
2018	5.4
2018	5.2
2018	5.9
2018	5
2018	5.2
2018	5.5
2018	4.9
2018	5
2018	5.8
2018	5.6
2018	5.4
2018	4.5
2018	5.1
2018	5
2018	5.6
2018	5.2
2018	5.6
2018	5.4
2018	4.6
2018	5
2018	5.3
2018	5.1
2018	5.3
2018	4.7
2018	5
2018	4.9
2018	4.2
2018	4.8
2018	5.4
2018	5.1
2018	5.2
2018	5.9
2018	5.8
2018	5.2
2018	4.8
2018	5.4
2018	4.9
2018	5.5
